Period AUD CNY BRL GBP USD
2021-02-12 1.5666 7.8207 6.5302 0.87753 1.2108
2021-02-11 1.5638 7.8448 6.4936 0.87755 1.2147
2021-02-10 1.5682 7.8235 6.5641 0.8765 1.2127
2021-02-09 1.5681 7.7894 6.553 0.87828 1.2104
2021-02-08 1.5693 7.7618 6.4955 0.87833 1.2025
2021-02-05 1.5761 7.7535 6.5248 0.87538 1.1983
2021-02-04 1.5727 7.7542 6.4285 0.87693 1.1996
2021-02-03 1.5781 7.7623 6.4256 0.88145 1.2017
2021-02-02 1.5847 7.7756 6.4904 0.88075 1.2044
2021-02-01 1.5831 7.8143 6.5765 0.882 1.2084
2021-01-29 1.5819 7.8047 6.6568 0.88383 1.2136
2021-01-28 1.5914 7.8226 6.5857 0.88603 1.2091
2021-01-27 1.5744 7.8411 6.4967 0.88395 1.2114
2021-01-26 1.5709 7.8537 6.5816 0.88698 1.2143
2021-01-25 1.5728 7.8712 6.6434 0.888 1.2152
2021-01-22 1.577 7.8822 6.5765 0.89045 1.2158
2021-01-21 1.5635 7.8552 6.4073 0.88625 1.2158
2021-01-20 1.5666 7.8292 6.439 0.88563 1.2101
2021-01-19 1.5723 7.861 6.3848 0.891 1.2132
2021-01-18 1.5721 7.8359 6.391 0.89073 1.2064
2021-01-15 1.568 7.8499 6.3697 0.88998 1.2123
2021-01-14 1.5642 7.8409 6.3888 0.88943 1.2124
2021-01-13 1.5734 7.8716 6.4869 0.88983 1.2166
2021-01-12 1.5742 7.8576 6.6592 0.8944 1.2161
2021-01-11 1.5783 7.8806 6.6562 0.90235 1.2163
2021-01-08 1.5758 7.9184 6.5748 0.90128 1.225
2021-01-07 1.5836 7.9392 6.5172 0.9019 1.2276
2021-01-06 1.5824 7.9653 6.5119 0.90635 1.2338
2021-01-05 1.5927 7.9315 6.5517 0.90333 1.2271
2021-01-04 1.5928 7.9484 6.3241 0.9016 1.2296
2020-12-31 1.5896 8.0225 6.3735 0.89903 1.2271
2020-12-30 1.6025 8.0134 6.3574 0.90307 1.2281
2020-12-29 1.6121 8.007 6.3717 0.90863 1.2259
2020-12-28 1.6083 7.9906 6.3443 0.90408 1.2219
